#dim half(ms) single(ms) double(ms)
6489600 0.285280 0.503456 1.046336
6502400 0.285856 0.513440 1.013088
6515200 0.305568 0.510080 1.018592
6528000 0.288128 0.515904 1.051104
6540800 0.288256 0.515840 1.020512
6553600 0.287680 0.515040 1.022688
6566400 0.283232 0.517184 1.026496
6579200 0.285984 0.514688 1.023136
6592000 0.284352 0.514240 1.027168
6604800 0.290784 0.522432 1.031200
6617600 0.284960 0.522752 1.038176
6630400 0.289728 0.521152 1.041312
6643200 0.285760 0.523808 1.037120
